fecha;latitud;longitud;precipitacion_mm;fuente
31/1/2023;-37;-64;74.6;NOAA PSL (ejemplo)
28/2/2023;-37;-64;100.9;NOAA PSL (ejemplo)
31/3/2023;-37;-64;175.8;NOAA PSL (ejemplo)
30/4/2023;-37;-64;142.4;NOAA PSL (ejemplo)
31/5/2023;-37;-64;88.5;NOAA PSL (ejemplo)
30/6/2023;-37;-64;125.7;NOAA PSL (ejemplo)
31/7/2023;-37;-64;89.9;NOAA PSL (ejemplo)
31/8/2023;-37;-64;122.5;NOAA PSL (ejemplo)
30/9/2023;-37;-64;34.9;NOAA PSL (ejemplo)
31/10/2023;-37;-64;57.6;NOAA PSL (ejemplo)
30/11/2023;-37;-64;65.4;NOAA PSL (ejemplo)
31/12/2023;-37;-64;26.8;NOAA PSL (ejemplo)
31/1/2020;-37;-63;129.8;NOAA PSL (ejemplo)
29/2/2020;-37;-63;139;NOAA PSL (ejemplo)
31/3/2020;-37;-63;130.3;NOAA PSL (ejemplo)
30/4/2020;-37;-63;114.3;NOAA PSL (ejemplo)
31/5/2020;-37;-63;44.2;NOAA PSL (ejemplo)
30/6/2020;-37;-63;79;NOAA PSL (ejemplo)
31/7/2020;-37;-63;67.9;NOAA PSL (ejemplo)
31/8/2020;-37;-63;33.9;NOAA PSL (ejemplo)
30/9/2020;-37;-63;61.9;NOAA PSL (ejemplo)
31/10/2020;-37;-63;94.2;NOAA PSL (ejemplo)
30/11/2020;-37;-63;179.3;NOAA PSL (ejemplo)
31/12/2020;-37;-63;108.7;NOAA PSL (ejemplo)
31/1/2021;-37;-63;127.9;NOAA PSL (ejemplo)
28/2/2021;-37;-63;122.3;NOAA PSL (ejemplo)
31/3/2021;-37;-63;34.1;NOAA PSL (ejemplo)
30/4/2021;-37;-63;124.7;NOAA PSL (ejemplo)
31/5/2021;-37;-63;118;NOAA PSL (ejemplo)
30/6/2021;-37;-63;223.2;NOAA PSL (ejemplo)
31/7/2021;-37;-63;75.4;NOAA PSL (ejemplo)
31/8/2021;-37;-63;89.1;NOAA PSL (ejemplo)
30/9/2021;-37;-63;68.3;NOAA PSL (ejemplo)
31/10/2021;-37;-63;15.6;NOAA PSL (ejemplo)
30/11/2021;-37;-63;142.1;NOAA PSL (ejemplo)
31/12/2021;-37;-63;137.6;NOAA PSL (ejemplo)
31/1/2022;-37;-63;154.6;NOAA PSL (ejemplo)
28/2/2022;-37;-63;80.5;NOAA PSL (ejemplo)
31/3/2022;-37;-63;200.1;NOAA PSL (ejemplo)
30/4/2022;-37;-63;55.9;NOAA PSL (ejemplo)
31/5/2022;-37;-63;144.3;NOAA PSL (ejemplo)
30/6/2022;-37;-63;209.5;NOAA PSL (ejemplo)
31/7/2022;-37;-63;35.5;NOAA PSL (ejemplo)
31/8/2022;-37;-63;45.7;NOAA PSL (ejemplo)
30/9/2022;-37;-63;75;NOAA PSL (ejemplo)
31/10/2022;-37;-63;48.8;NOAA PSL (ejemplo)
30/11/2022;-37;-63;7.5;NOAA PSL (ejemplo)
31/12/2022;-37;-63;103.4;NOAA PSL (ejemplo)
31/1/2023;-37;-63;61.9;NOAA PSL (ejemplo)
28/2/2023;-37;-63;149.7;NOAA PSL (ejemplo)
31/3/2023;-37;-63;84;NOAA PSL (ejemplo)
30/4/2023;-37;-63;203.5;NOAA PSL (ejemplo)
31/5/2023;-37;-63;75.8;NOAA PSL (ejemplo)
30/6/2023;-37;-63;83.9;NOAA PSL (ejemplo)
31/7/2023;-37;-63;125.7;NOAA PSL (ejemplo)
31/8/2023;-37;-63;12.5;NOAA PSL (ejemplo)
30/9/2023;-37;-63;81.4;NOAA PSL (ejemplo)
31/10/2023;-37;-63;139.4;NOAA PSL (ejemplo)
30/11/2023;-37;-63;4.6;NOAA PSL (ejemplo)
31/12/2023;-37;-63;109.2;NOAA PSL (ejemplo)
31/1/2020;-37;-62;128;NOAA PSL (ejemplo)
29/2/2020;-37;-62;165.1;NOAA PSL (ejemplo)
31/3/2020;-37;-62;68.2;NOAA PSL (ejemplo)
30/4/2020;-37;-62;60;NOAA PSL (ejemplo)
31/5/2020;-37;-62;141.1;NOAA PSL (ejemplo)
30/6/2020;-37;-62;114.8;NOAA PSL (ejemplo)
31/7/2020;-37;-62;97.5;NOAA PSL (ejemplo)
31/8/2020;-37;-62;91.3;NOAA PSL (ejemplo)
30/9/2020;-37;-62;36;NOAA PSL (ejemplo)
31/10/2020;-37;-62;85.6;NOAA PSL (ejemplo)
30/11/2020;-37;-62;99.7;NOAA PSL (ejemplo)
31/12/2020;-37;-62;64.3;NOAA PSL (ejemplo)
31/1/2021;-37;-62;208.3;NOAA PSL (ejemplo)
28/2/2021;-37;-62;149.7;NOAA PSL (ejemplo)
31/3/2021;-37;-62;70.4;NOAA PSL (ejemplo)
30/4/2021;-37;-62;158.8;NOAA PSL (ejemplo)
31/5/2021;-37;-62;66.3;NOAA PSL (ejemplo)
30/6/2021;-37;-62;139.4;NOAA PSL (ejemplo)
31/7/2021;-37;-62;142.9;NOAA PSL (ejemplo)
31/8/2021;-37;-62;33;NOAA PSL (ejemplo)
30/9/2021;-37;-62;118.2;NOAA PSL (ejemplo)
31/10/2021;-37;-62;94.7;NOAA PSL (ejemplo)
30/11/2021;-37;-62;126.1;NOAA PSL (ejemplo)
31/12/2021;-37;-62;194.8;NOAA PSL (ejemplo)
31/1/2022;-37;-62;102.7;NOAA PSL (ejemplo)
28/2/2022;-37;-62;88.3;NOAA PSL (ejemplo)
31/3/2022;-37;-62;85.5;NOAA PSL (ejemplo)
30/4/2022;-37;-62;85.2;NOAA PSL (ejemplo)
31/5/2022;-37;-62;111.1;NOAA PSL (ejemplo)
30/6/2022;-37;-62;117.1;NOAA PSL (ejemplo)
31/7/2022;-37;-62;98.8;NOAA PSL (ejemplo)
31/8/2022;-37;-62;115.4;NOAA PSL (ejemplo)
30/9/2022;-37;-62;70.7;NOAA PSL (ejemplo)
31/10/2022;-37;-62;146.7;NOAA PSL (ejemplo)
30/11/2022;-37;-62;71.8;NOAA PSL (ejemplo)
31/12/2022;-37;-62;236;NOAA PSL (ejemplo)
31/1/2023;-37;-62;146.3;NOAA PSL (ejemplo)
28/2/2023;-37;-62;83.1;NOAA PSL (ejemplo)
31/3/2023;-37;-62;76.5;NOAA PSL (ejemplo)
30/4/2023;-37;-62;150.1;NOAA PSL (ejemplo)
31/5/2023;-37;-62;103.8;NOAA PSL (ejemplo)
30/6/2023;-37;-62;135.7;NOAA PSL (ejemplo)
31/7/2023;-37;-62;108.7;NOAA PSL (ejemplo)
31/8/2023;-37;-62;70.4;NOAA PSL (ejemplo)
30/9/2023;-37;-62;27.7;NOAA PSL (ejemplo)
31/10/2023;-37;-62;0;NOAA PSL (ejemplo)
30/11/2023;-37;-62;62.7;NOAA PSL (ejemplo)
31/12/2023;-37;-62;142.8;NOAA PSL (ejemplo)
31/1/2020;-37;-61;125.7;NOAA PSL (ejemplo)
29/2/2020;-37;-61;63.7;NOAA PSL (ejemplo)
31/3/2020;-37;-61;138.7;NOAA PSL (ejemplo)
30/4/2020;-37;-61;145.2;NOAA PSL (ejemplo)
31/5/2020;-37;-61;70.8;NOAA PSL (ejemplo)
30/6/2020;-37;-61;107.7;NOAA PSL (ejemplo)
31/7/2020;-37;-61;87.9;NOAA PSL (ejemplo)
31/8/2020;-37;-61;16.9;NOAA PSL (ejemplo)
30/9/2020;-37;-61;87.9;NOAA PSL (ejemplo)
31/10/2020;-37;-61;102.1;NOAA PSL (ejemplo)
30/11/2020;-37;-61;139.2;NOAA PSL (ejemplo)
31/12/2020;-37;-61;152.7;NOAA PSL (ejemplo)
31/1/2021;-37;-61;46.1;NOAA PSL (ejemplo)
28/2/2021;-37;-61;79.1;NOAA PSL (ejemplo)
31/3/2021;-37;-61;155.8;NOAA PSL (ejemplo)
30/4/2021;-37;-61;151.7;NOAA PSL (ejemplo)
31/5/2021;-37;-61;140.8;NOAA PSL (ejemplo)
30/6/2021;-37;-61;292.6;NOAA PSL (ejemplo)
31/7/2021;-37;-61;113.5;NOAA PSL (ejemplo)
31/8/2021;-37;-61;130.8;NOAA PSL (ejemplo)
30/9/2021;-37;-61;117.7;NOAA PSL (ejemplo)
31/10/2021;-37;-61;106.6;NOAA PSL (ejemplo)
30/11/2021;-37;-61;69.2;NOAA PSL (ejemplo)
31/12/2021;-37;-61;137.9;NOAA PSL (ejemplo)
31/1/2022;-37;-61;76.4;NOAA PSL (ejemplo)
28/2/2022;-37;-61;114.1;NOAA PSL (ejemplo)
31/3/2022;-37;-61;105.7;NOAA PSL (ejemplo)
30/4/2022;-37;-61;130.1;NOAA PSL (ejemplo)
31/5/2022;-37;-61;230.7;NOAA PSL (ejemplo)
30/6/2022;-37;-61;6.6;NOAA PSL (ejemplo)
31/7/2022;-37;-61;119.3;NOAA PSL (ejemplo)
31/8/2022;-37;-61;0;NOAA PSL (ejemplo)
30/9/2022;-37;-61;46.4;NOAA PSL (ejemplo)
31/10/2022;-37;-61;128.5;NOAA PSL (ejemplo)
30/11/2022;-37;-61;88.2;NOAA PSL (ejemplo)
31/12/2022;-37;-61;46.1;NOAA PSL (ejemplo)
31/1/2023;-37;-61;79.2;NOAA PSL (ejemplo)
28/2/2023;-37;-61;160;NOAA PSL (ejemplo)
31/3/2023;-37;-61;93.5;NOAA PSL (ejemplo)
30/4/2023;-37;-61;136.8;NOAA PSL (ejemplo)
31/5/2023;-37;-61;117.3;NOAA PSL (ejemplo)
30/6/2023;-37;-61;67.4;NOAA PSL (ejemplo)
31/7/2023;-37;-61;192.2;NOAA PSL (ejemplo)
31/8/2023;-37;-61;105.7;NOAA PSL (ejemplo)
30/9/2023;-37;-61;0;NOAA PSL (ejemplo)
31/10/2023;-37;-61;83.3;NOAA PSL (ejemplo)
30/11/2023;-37;-61;51.9;NOAA PSL (ejemplo)
31/12/2023;-37;-61;142.6;NOAA PSL (ejemplo)
31/1/2020;-37;-60;75.4;NOAA PSL (ejemplo)
29/2/2020;-37;-60;120.2;NOAA PSL (ejemplo)
31/3/2020;-37;-60;155.2;NOAA PSL (ejemplo)
30/4/2020;-37;-60;169.3;NOAA PSL (ejemplo)
31/5/2020;-37;-60;55;NOAA PSL (ejemplo)
30/6/2020;-37;-60;83.3;NOAA PSL (ejemplo)
31/7/2020;-37;-60;61.3;NOAA PSL (ejemplo)
31/8/2020;-37;-60;41.4;NOAA PSL (ejemplo)
30/9/2020;-37;-60;158.3;NOAA PSL (ejemplo)
31/10/2020;-37;-60;94.3;NOAA PSL (ejemplo)
30/11/2020;-37;-60;22;NOAA PSL (ejemplo)
31/12/2020;-37;-60;145.9;NOAA PSL (ejemplo)
31/1/2021;-37;-60;221.1;NOAA PSL (ejemplo)
28/2/2021;-37;-60;177.6;NOAA PSL (ejemplo)
31/3/2021;-37;-60;54;NOAA PSL (ejemplo)
30/4/2021;-37;-60;101.8;NOAA PSL (ejemplo)
31/5/2021;-37;-60;178.3;NOAA PSL (ejemplo)
30/6/2021;-37;-60;64.6;NOAA PSL (ejemplo)
31/7/2021;-37;-60;107.2;NOAA PSL (ejemplo)
31/8/2021;-37;-60;112.8;NOAA PSL (ejemplo)
30/9/2021;-37;-60;23.7;NOAA PSL (ejemplo)
31/10/2021;-37;-60;71;NOAA PSL (ejemplo)
30/11/2021;-37;-60;0;NOAA PSL (ejemplo)
31/12/2021;-37;-60;48.8;NOAA PSL (ejemplo)
31/1/2022;-37;-60;102.4;NOAA PSL (ejemplo)
28/2/2022;-37;-60;63.6;NOAA PSL (ejemplo)
31/3/2022;-37;-60;211.6;NOAA PSL (ejemplo)
30/4/2022;-37;-60;54.5;NOAA PSL (ejemplo)
31/5/2022;-37;-60;93;NOAA PSL (ejemplo)
30/6/2022;-37;-60;106.5;NOAA PSL (ejemplo)
31/7/2022;-37;-60;157.1;NOAA PSL (ejemplo)
31/8/2022;-37;-60;2.2;NOAA PSL (ejemplo)
30/9/2022;-37;-60;128.2;NOAA PSL (ejemplo)
31/10/2022;-37;-60;74.5;NOAA PSL (ejemplo)
30/11/2022;-37;-60;35.9;NOAA PSL (ejemplo)
31/12/2022;-37;-60;123.1;NOAA PSL (ejemplo)
31/1/2023;-37;-60;125;NOAA PSL (ejemplo)
28/2/2023;-37;-60;96;NOAA PSL (ejemplo)
31/3/2023;-37;-60;133.5;NOAA PSL (ejemplo)
30/4/2023;-37;-60;106.7;NOAA PSL (ejemplo)
31/5/2023;-37;-60;120.7;NOAA PSL (ejemplo)
30/6/2023;-37;-60;133.1;NOAA PSL (ejemplo)
31/7/2023;-37;-60;164.3;NOAA PSL (ejemplo)
31/8/2023;-37;-60;12.1;NOAA PSL (ejemplo)
30/9/2023;-37;-60;176.7;NOAA PSL (ejemplo)
31/10/2023;-37;-60;0;NOAA PSL (ejemplo)
30/11/2023;-37;-60;77.4;NOAA PSL (ejemplo)
31/12/2023;-37;-60;129.4;NOAA PSL (ejemplo)
31/1/2020;-37;-59;129;NOAA PSL (ejemplo)
29/2/2020;-37;-59;94.8;NOAA PSL (ejemplo)
31/3/2020;-37;-59;119.6;NOAA PSL (ejemplo)
30/4/2020;-37;-59;101.3;NOAA PSL (ejemplo)
31/5/2020;-37;-59;85.5;NOAA PSL (ejemplo)
30/6/2020;-37;-59;142.5;NOAA PSL (ejemplo)
31/7/2020;-37;-59;102.9;NOAA PSL (ejemplo)
31/8/2020;-37;-59;39.4;NOAA PSL (ejemplo)
30/9/2020;-37;-59;115;NOAA PSL (ejemplo)
31/10/2020;-37;-59;89.4;NOAA PSL (ejemplo)
30/11/2020;-37;-59;125.6;NOAA PSL (ejemplo)
31/12/2020;-37;-59;131.5;NOAA PSL (ejemplo)
31/1/2021;-37;-59;73.6;NOAA PSL (ejemplo)
28/2/2021;-37;-59;98;NOAA PSL (ejemplo)
31/3/2021;-37;-59;167.4;NOAA PSL (ejemplo)
30/4/2021;-37;-59;156.5;NOAA PSL (ejemplo)
31/5/2021;-37;-59;114;NOAA PSL (ejemplo)
30/6/2021;-37;-59;105.9;NOAA PSL (ejemplo)
31/7/2021;-37;-59;148.9;NOAA PSL (ejemplo)
31/8/2021;-37;-59;44.4;NOAA PSL (ejemplo)
30/9/2021;-37;-59;97.4;NOAA PSL (ejemplo)
31/10/2021;-37;-59;63.9;NOAA PSL (ejemplo)
30/11/2021;-37;-59;74.1;NOAA PSL (ejemplo)
31/12/2021;-37;-59;154.9;NOAA PSL (ejemplo)
31/1/2022;-37;-59;156.3;NOAA PSL (ejemplo)
28/2/2022;-37;-59;166.7;NOAA PSL (ejemplo)
31/3/2022;-37;-59;195.3;NOAA PSL (ejemplo)
30/4/2022;-37;-59;127;NOAA PSL (ejemplo)
31/5/2022;-37;-59;149.1;NOAA PSL (ejemplo)
30/6/2022;-37;-59;84.5;NOAA PSL (ejemplo)
31/7/2022;-37;-59;101.2;NOAA PSL (ejemplo)
31/8/2022;-37;-59;67.5;NOAA PSL (ejemplo)
30/9/2022;-37;-59;74.8;NOAA PSL (ejemplo)
31/10/2022;-37;-59;103.8;NOAA PSL (ejemplo)
30/11/2022;-37;-59;44.1;NOAA PSL (ejemplo)
31/12/2022;-37;-59;204.6;NOAA PSL (ejemplo)
31/1/2023;-37;-59;64.7;NOAA PSL (ejemplo)
28/2/2023;-37;-59;65.3;NOAA PSL (ejemplo)
31/3/2023;-37;-59;187.9;NOAA PSL (ejemplo)
30/4/2023;-37;-59;165.6;NOAA PSL (ejemplo)
31/5/2023;-37;-59;146.2;NOAA PSL (ejemplo)
30/6/2023;-37;-59;131.4;NOAA PSL (ejemplo)
31/7/2023;-37;-59;84.4;NOAA PSL (ejemplo)
31/8/2023;-37;-59;29.2;NOAA PSL (ejemplo)
30/9/2023;-37;-59;73.8;NOAA PSL (ejemplo)
31/10/2023;-37;-59;40.2;NOAA PSL (ejemplo)
30/11/2023;-37;-59;133.8;NOAA PSL (ejemplo)
31/12/2023;-37;-59;92.6;NOAA PSL (ejemplo)
31/1/2020;-37;-58;73.7;NOAA PSL (ejemplo)
29/2/2020;-37;-58;109.9;NOAA PSL (ejemplo)
31/3/2020;-37;-58;150.6;NOAA PSL (ejemplo)
30/4/2020;-37;-58;97.8;NOAA PSL (ejemplo)
31/5/2020;-37;-58;73.9;NOAA PSL (ejemplo)
30/6/2020;-37;-58;112.2;NOAA PSL (ejemplo)
31/7/2020;-37;-58;97.2;NOAA PSL (ejemplo)
31/8/2020;-37;-58;48.7;NOAA PSL (ejemplo)
30/9/2020;-37;-58;46.4;NOAA PSL (ejemplo)
31/10/2020;-37;-58;85.6;NOAA PSL (ejemplo)
30/11/2020;-37;-58;12.6;NOAA PSL (ejemplo)
31/12/2020;-37;-58;29.6;NOAA PSL (ejemplo)
31/1/2021;-37;-58;79.1;NOAA PSL (ejemplo)
28/2/2021;-37;-58;115.3;NOAA PSL (ejemplo)
31/3/2021;-37;-58;145.5;NOAA PSL (ejemplo)
30/4/2021;-37;-58;199.7;NOAA PSL (ejemplo)
31/5/2021;-37;-58;157.9;NOAA PSL (ejemplo)
30/6/2021;-37;-58;92;NOAA PSL (ejemplo)
31/7/2021;-37;-58;84;NOAA PSL (ejemplo)
31/8/2021;-37;-58;23.9;NOAA PSL (ejemplo)
30/9/2021;-37;-58;69.1;NOAA PSL (ejemplo)
31/10/2021;-37;-58;59.6;NOAA PSL (ejemplo)
30/11/2021;-37;-58;101.1;NOAA PSL (ejemplo)
31/12/2021;-37;-58;58.6;NOAA PSL (ejemplo)
31/1/2022;-37;-58;141;NOAA PSL (ejemplo)
28/2/2022;-37;-58;202.6;NOAA PSL (ejemplo)
31/3/2022;-37;-58;124.6;NOAA PSL (ejemplo)
30/4/2022;-37;-58;146.1;NOAA PSL (ejemplo)
31/5/2022;-37;-58;149.5;NOAA PSL (ejemplo)
30/6/2022;-37;-58;79.9;NOAA PSL (ejemplo)
31/7/2022;-37;-58;96.2;NOAA PSL (ejemplo)
31/8/2022;-37;-58;74.6;NOAA PSL (ejemplo)
30/9/2022;-37;-58;74.9;NOAA PSL (ejemplo)
31/10/2022;-37;-58;35.4;NOAA PSL (ejemplo)
30/11/2022;-37;-58;86.2;NOAA PSL (ejemplo)
31/12/2022;-37;-58;124.9;NOAA PSL (ejemplo)
31/1/2023;-37;-58;187.6;NOAA PSL (ejemplo)
28/2/2023;-37;-58;173.9;NOAA PSL (ejemplo)
31/3/2023;-37;-58;237.7;NOAA PSL (ejemplo)
30/4/2023;-37;-58;87.6;NOAA PSL (ejemplo)
31/5/2023;-37;-58;158.6;NOAA PSL (ejemplo)
30/6/2023;-37;-58;109.2;NOAA PSL (ejemplo)
31/7/2023;-37;-58;194.5;NOAA PSL (ejemplo)
31/8/2023;-37;-58;33.6;NOAA PSL (ejemplo)
30/9/2023;-37;-58;28;NOAA PSL (ejemplo)
31/10/2023;-37;-58;44;NOAA PSL (ejemplo)
30/11/2023;-37;-58;0;NOAA PSL (ejemplo)
31/12/2023;-37;-58;73.7;NOAA PSL (ejemplo)
31/1/2020;-36;-65;77;NOAA PSL (ejemplo)
29/2/2020;-36;-65;133.5;NOAA PSL (ejemplo)
31/3/2020;-36;-65;147.1;NOAA PSL (ejemplo)
30/4/2020;-36;-65;219.8;NOAA PSL (ejemplo)
31/5/2020;-36;-65;162.5;NOAA PSL (ejemplo)
30/6/2020;-36;-65;71.2;NOAA PSL (ejemplo)
31/7/2020;-36;-65;40.1;NOAA PSL (ejemplo)
31/8/2020;-36;-65;98.6;NOAA PSL (ejemplo)
30/9/2020;-36;-65;4;NOAA PSL (ejemplo)
31/10/2020;-36;-65;165.6;NOAA PSL (ejemplo)
30/11/2020;-36;-65;144;NOAA PSL (ejemplo)
31/12/2020;-36;-65;76.5;NOAA PSL (ejemplo)
31/1/2021;-36;-65;29.3;NOAA PSL (ejemplo)
28/2/2021;-36;-65;193.7;NOAA PSL (ejemplo)
31/3/2021;-36;-65;124.3;NOAA PSL (ejemplo)
30/4/2021;-36;-65;187.9;NOAA PSL (ejemplo)
31/5/2021;-36;-65;35.3;NOAA PSL (ejemplo)
30/6/2021;-36;-65;70;NOAA PSL (ejemplo)
31/7/2021;-36;-65;85.3;NOAA PSL (ejemplo)
31/8/2021;-36;-65;76.4;NOAA PSL (ejemplo)
30/9/2021;-36;-65;47.5;NOAA PSL (ejemplo)
31/10/2021;-36;-65;105.2;NOAA PSL (ejemplo)
30/11/2021;-36;-65;31.6;NOAA PSL (ejemplo)
31/12/2021;-36;-65;92.9;NOAA PSL (ejemplo)
31/1/2022;-36;-65;121;NOAA PSL (ejemplo)
28/2/2022;-36;-65;151.7;NOAA PSL (ejemplo)
31/3/2022;-36;-65;165.6;NOAA PSL (ejemplo)
30/4/2022;-36;-65;69.7;NOAA PSL (ejemplo)
31/5/2022;-36;-65;38.3;NOAA PSL (ejemplo)
30/6/2022;-36;-65;163.9;NOAA PSL (ejemplo)
31/7/2022;-36;-65;101.6;NOAA PSL (ejemplo)
31/8/2022;-36;-65;36.6;NOAA PSL (ejemplo)
30/9/2022;-36;-65;147.6;NOAA PSL (ejemplo)
31/10/2022;-36;-65;79.8;NOAA PSL (ejemplo)
30/11/2022;-36;-65;144;NOAA PSL (ejemplo)
31/12/2022;-36;-65;103.4;NOAA PSL (ejemplo)
31/1/2023;-36;-65;218;NOAA PSL (ejemplo)
28/2/2023;-36;-65;213.7;NOAA PSL (ejemplo)
31/3/2023;-36;-65;117.6;NOAA PSL (ejemplo)
30/4/2023;-36;-65;174.6;NOAA PSL (ejemplo)
31/5/2023;-36;-65;147.3;NOAA PSL (ejemplo)
30/6/2023;-36;-65;168.4;NOAA PSL (ejemplo)
31/7/2023;-36;-65;36.8;NOAA PSL (ejemplo)
31/8/2023;-36;-65;108.3;NOAA PSL (ejemplo)
30/9/2023;-36;-65;122.9;NOAA PSL (ejemplo)
31/10/2023;-36;-65;0;NOAA PSL (ejemplo)
30/11/2023;-36;-65;25.8;NOAA PSL (ejemplo)
31/12/2023;-36;-65;0;NOAA PSL (ejemplo)
31/1/2020;-36;-64;101.5;NOAA PSL (ejemplo)
29/2/2020;-36;-64;161.9;NOAA PSL (ejemplo)
31/3/2020;-36;-64;205.1;NOAA PSL (ejemplo)
30/4/2020;-36;-64;129.7;NOAA PSL (ejemplo)
31/5/2020;-36;-64;196.4;NOAA PSL (ejemplo)
30/6/2020;-36;-64;31;NOAA PSL (ejemplo)
31/7/2020;-36;-64;0;NOAA PSL (ejemplo)
